Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-02 00:00:00+03:00,1616.4630787893568,1643.8009704655544,1611.1718739488024,1638.509765625,5184788,0.0,0.0
2020-06-03 00:00:00+03:00,1646.4467462303141,1679.9577137486601,1641.1555408326806,1671.1390380859375,3813589,0.0,0.0
2020-06-04 00:00:00+03:00,1679.9577142594385,1694.949462890625,1662.3203629286309,1694.949462890625,15412513,0.0,0.0
2020-06-08 00:00:00+03:00,1724.0509956579165,1776.0811791585902,1720.523525590074,1748.7432861328125,5716698,0.0,0.0
2020-06-09 00:00:00+03:00,1748.7434490169073,1763.7351982016212,1724.0511562420847,1740.806640625,4031862,0.0,0.0
2020-06-10 00:00:00+03:00,1740.806457550003,1766.380615234375,1736.3971200182148,1766.380615234375,3732725,0.0,0.0
2020-06-11 00:00:00+03:00,1752.2709333165099,1752.2709333165099,1715.2324938603983,1730.2242431640625,3921594,0.0,0.0
2020-06-14 00:00:00+03:00,1706.41377317832,1724.0511248390778,1690.5401566836379,1717.8780517578125,1234826,0.0,0.0
2020-06-15 00:00:00+03:00,1684.3669792435614,1701.122462283157,1667.6114962039658,1679.9576416015625,2797136,0.0,0.0
2020-06-16 00:00:00+03:00,1704.650133628169,1718.760015748216,1691.422119140625,1691.422119140625,4181025,0.0,0.0
2020-06-17 00:00:00+03:00,1689.6583444215496,1691.4220796453717,1650.856169497464,1651.738037109375,3162394,0.0,0.0
2020-06-18 00:00:00+03:00,1649.0923167678236,1657.9109922585606,1639.3917737280128,1648.21044921875,5024121,0.0,0.0
2020-06-21 00:00:00+03:00,1630.5732644179773,1648.210617196971,1610.2903087221343,1636.746337890625,1731219,0.0,0.0
2020-06-22 00:00:00+03:00,1640.2735594348294,1649.0922344855542,1582.0703041000452,1589.125244140625,6669264,0.0,0.0
2020-06-23 00:00:00+03:00,1590.8891147347383,1597.0621877963476,1553.8506763650826,1554.7325439453125,6403093,0.0,0.0
2020-06-24 00:00:00+03:00,1558.2599192842893,1582.952210025636,1545.031906387139,1557.3780517578125,6289226,0.0,0.0
2020-06-25 00:00:00+03:00,1569.7243244305478,1586.4798087924469,1543.268296490707,1577.6611328125,9124746,0.0,0.0
2020-06-28 00:00:00+03:00,1541.5044664529992,1551.2050094341107,1527.3945857532005,1532.685791015625,2064461,0.0,0.0
2020-06-29 00:00:00+03:00,1532.6857637169037,1554.7324519176648,1517.6940157403862,1530.0401611328125,4076443,0.0,0.0
2020-06-30 00:00:00+03:00,1530.9219105421362,1536.2131153020744,1515.0482962623214,1526.5125732421875,4905336,0.0,0.0
2020-07-01 00:00:00+03:00,1526.5127815118715,1599.7077906773743,1526.5127815118715,1578.54296875,5828822,0.0,0.0
2020-07-02 00:00:00+03:00,1598.8259589987128,1621.7545166015625,1578.543004196192,1621.7545166015625,14513333,0.0,0.0
2020-07-05 00:00:00+03:00,1586.4798138198594,1586.4798138198594,1550.3232421875,1550.3232421875,2619252,0.0,0.0
2020-07-06 00:00:00+03:00,1565.3148944561299,1630.5730928728924,1560.9055567252676,1627.927490234375,6961355,0.0,0.0
2020-07-07 00:00:00+03:00,1649.0923573483703,1651.737960060694,1613.8176545173892,1640.273681640625,7727476,0.0,0.0
2020-07-08 00:00:00+03:00,1628.8093011922358,1628.8093011922358,1583.8340578999757,1598.8258056640625,5600003,0.0,0.0
2020-07-09 00:00:00+03:00,1598.8259183390367,1603.2352562274511,1557.378142187942,1558.260009765625,5840000,0.0,0.0
2020-07-12 00:00:00+03:00,1568.8424343532986,1586.4797860604745,1558.260023328993,1571.488037109375,3325155,0.0,0.0
2020-07-13 00:00:00+03:00,1577.661137811967,1582.9523434167022,1547.6776393851324,1550.3232421875,5653313,0.0,0.0
2020-07-14 00:00:00+03:00,1538.858800427667,1542.3862704573005,1514.1665102202317,1534.449462890625,5621701,0.0,0.0
2020-07-15 00:00:00+03:00,1560.023589562018,1586.4796142578125,1549.4411796837003,1586.4796142578125,4458462,0.0,0.0
2020-07-16 00:00:00+03:00,1573.2516773897057,1578.5428825827205,1552.086856617647,1574.133544921875,3368513,0.0,0.0
2020-07-19 00:00:00+03:00,1562.669361255787,1580.306712962963,1559.1418909143517,1571.488037109375,588384,0.0,0.0
2020-07-20 00:00:00+03:00,1562.6694922205293,1567.0788305168626,1552.0870803093292,1564.4332275390625,2153248,0.0,0.0
2020-07-21 00:00:00+03:00,1582.952246592845,1590.0071869676322,1548.559412265758,1552.96875,3403807,0.0,0.0
2020-07-22 00:00:00+03:00,1552.0867295818891,1556.4960668818376,1526.5125732421875,1526.5125732421875,3113245,0.0,0.0
2020-07-23 00:00:00+03:00,1538.8589456247728,1539.7408132153887,1510.6391827250636,1516.812255859375,3165847,0.0,0.0
